Nome,Nota,Situacao,Media
Ana,7,6,Aprovado,Acima
Andre,7,2,Aprovado,Acima
Beatriz,8,5,Aprovado,Acima
Breno,6,9,Prova Final,Acima
Daniel,7,1,Aprovado,Acima
Danilo,4,8,Prova Final,Abaixo
Diego,4,7,Prova Final,Abaixo
Eduarda,6,2,Prova Final,Abaixo
Fabiana,7,0,Aprovado,Acima
Fernanda,7,7,Aprovado,Acima
Fernando,0,0,Prova Final,Abaixo
Gabriel,9,3,Aprovado,Acima
Gabriela,5,6,Prova Final,Abaixo
Guilherme,8,8,Aprovado,Acima
Gustavo,8,1,Aprovado,Acima
Heitor,8,7,Aprovado,Acima
Igor,7,2,Aprovado,Acima
Isabel,8,3,Aprovado,Acima
Julia,7,7,Aprovado,Acima
Julio,7,9,Aprovado,Acima
Kassia,8,6,Aprovado,Acima
Lorenzo,7,2,Aprovado,Acima
Lucas,7,6,Aprovado,Acima
Lucio,9,1,Aprovado,Acima
Maria,4,5,Prova Final,Abaixo
Marta,4,5,Prova Final,Abaixo
Mateus,9,9,Aprovado,Acima
Miguel,5,0,Prova Final,Abaixo
Murilo,4,3,Prova Final,Abaixo
Olivia,4,8,Prova Final,Abaixo
Otavio,4,4,Prova Final,Abaixo
Paula,7,4,Aprovado,Acima
Pedro,7,0,Prova Final,Acima
Ricardo,7,8,Aprovado,Acima
Rubens,3,3,Prova Final,Abaixo
Sabrina,7,7,Aprovado,Acima
Tiago,7,5,Aprovado,Acima
William,7,3,Aprovado,Acima
